canonical_lemma,frame_hint,source,notes
aanbraden,COOKING_CREATION,guideline_nl_v3,manual .v LU
bakken,COOKING_CREATION,guideline_nl_v3,manual .v LU
barbecueen,COOKING_CREATION,guideline_nl_v3,manual .v LU
bereiden,COOKING_CREATION,guideline_nl_v3,manual .v LU
blancheren,COOKING_CREATION,guideline_nl_v3,manual .v LU
braden,COOKING_CREATION,guideline_nl_v3,manual .v LU
bruinen,COOKING_CREATION,guideline_nl_v3,manual .v LU
dichtschroeien,COOKING_CREATION,guideline_nl_v3,manual .v LU
frituren,COOKING_CREATION,guideline_nl_v3,manual .v LU
grillen,COOKING_CREATION,guideline_nl_v3,manual .v LU
klaarmaken,COOKING_CREATION,guideline_nl_v3,manual .v LU
kloppen,COOKING_CREATION,guideline_nl_v3,manual .v LU
koken,COOKING_CREATION,guideline_nl_v3,manual .v LU
maken,COOKING_CREATION,guideline_nl_v3,manual .v LU
opbakken,COOKING_CREATION,guideline_nl_v3,manual .v LU
opzetten,COOKING_CREATION,guideline_nl_v3,manual .v LU
pocheren,COOKING_CREATION,guideline_nl_v3,manual .v LU
poeleren,COOKING_CREATION,guideline_nl_v3,manual .v LU
roosteren,COOKING_CREATION,guideline_nl_v3,manual .v LU
samenstellen,COOKING_CREATION,guideline_nl_v3,manual .v LU
sauteren,COOKING_CREATION,guideline_nl_v3,manual .v LU
schroeien,COOKING_CREATION,guideline_nl_v3,manual .v LU
smelten,COOKING_CREATION,guideline_nl_v3,manual .v LU
smoren,COOKING_CREATION,guideline_nl_v3,manual .v LU
stomen,COOKING_CREATION,guideline_nl_v3,manual .v LU
stoven,COOKING_CREATION,guideline_nl_v3,manual .v LU
sudderen,COOKING_CREATION,guideline_nl_v3,manual .v LU
trekken,COOKING_CREATION,guideline_nl_v3,manual .v LU
uitbakken,COOKING_CREATION,guideline_nl_v3,manual .v LU
verschroeien,COOKING_CREATION,guideline_nl_v3,manual .v LU
verwarmen,COOKING_CREATION,guideline_nl_v3,manual .v LU
behandelen,CURE,guideline_nl_v3,manual .v LU
genezen,CURE,guideline_nl_v3,manual .v LU
verbeteren,CURE,guideline_nl_v3,manual .v LU
verlichten,CURE,guideline_nl_v3,manual .v LU
verzachten,CURE,guideline_nl_v3,manual .v LU
verzorgen,CURE,guideline_nl_v3,manual .v LU
voorschrijven,CURE,guideline_nl_v3,manual .v LU
consumeren,INGESTION,guideline_nl_v3,manual .v LU
dineren,INGESTION,guideline_nl_v3,manual .v LU
drinken,INGESTION,guideline_nl_v3,manual .v LU
eten,INGESTION,guideline_nl_v3,manual .v LU
innemen,INGESTION,guideline_nl_v3,manual .v LU
inslikken,INGESTION,guideline_nl_v3,manual .v LU
kauwen,INGESTION,guideline_nl_v3,manual .v LU
knabbelen,INGESTION,guideline_nl_v3,manual .v LU
likken,INGESTION,guideline_nl_v3,manual .v LU
lunchen,INGESTION,guideline_nl_v3,manual .v LU
ontbijten,INGESTION,guideline_nl_v3,manual .v LU
sabbelen,INGESTION,guideline_nl_v3,manual .v LU
schrokken,INGESTION,guideline_nl_v3,manual .v LU
slikken,INGESTION,guideline_nl_v3,manual .v LU
slurpen,INGESTION,guideline_nl_v3,manual .v LU
snacken,INGESTION,guideline_nl_v3,manual .v LU
snoepen,INGESTION,guideline_nl_v3,manual .v LU
verslinden,INGESTION,guideline_nl_v3,manual .v LU
voeden,INGESTION,guideline_nl_v3,manual .v LU
wegwerken,INGESTION,guideline_nl_v3,manual .v LU
conserveren,PRESERVING,guideline_nl_v3,manual .v LU
drogen,PRESERVING,guideline_nl_v3,manual .v LU
inblikken,PRESERVING,guideline_nl_v3,manual .v LU
inleggen,PRESERVING,guideline_nl_v3,manual .v LU
inmaken,PRESERVING,guideline_nl_v3,manual .v LU
roken,PRESERVING,guideline_nl_v3,manual .v LU
wecken,PRESERVING,guideline_nl_v3,manual .v LU
zouten,PRESERVING,guideline_nl_v3,manual .v LU
bedienen,USING_PROTOTYPE,guideline_nl_v3,GEBRUIK prototype — not a macro-frame trigger
gebruiken,USING_PROTOTYPE,guideline_nl_v3,GEBRUIK prototype — not a macro-frame trigger
toepassen,USING_PROTOTYPE,guideline_nl_v3,GEBRUIK prototype — not a macro-frame trigger
uitoefenen,USING_PROTOTYPE,guideline_nl_v3,GEBRUIK prototype — not a macro-frame trigger
