pref_label,pref_label_en,gloss_en,semantic_type,food_type,snippet_freq,example_aliases,reviewed,keep,review_notes
water,water,,fluid,fluid,9923,water,,,
bonen,beans,,vegetable,pulse,2529,witte,,-,
zout,salt,,condiment,condiment,2464,wit,,-,
zout,salt,,preservative,condiment,2284,zout,,,
olie,oil,,grease,grease,2247,"olie, oly",,-,
bloed,blood,,meat,fluid,1949,bloed,,,
wijn,wine,,alcoholic_beverage,fluid,1685,wijn,,,
wortel,carrot,,vegetable,vegetable,1456,"wortel, wortelen, worteltjes",,,
sap,juice,,fruit,fluid,1291,sap,,,
brood,bread,,grain,grain,1246,"brood, brooden, broodjes",,,
suiker,sugar,,preservative,sweetener,953,"suiker, zuiker",,,
melk,milk,,dairy,dairy,950,melk,,,
vet,fat,,grease,grease,870,vet,,,
boter,butter,,dairy,grease,834,"booter, boter, boters",,,
bloem,flour,,grain,grain,796,bloem,,,
peper,pepper,,condiment,spice,793,"peper, pepers",,,
azijn,vinegar,,preservative,fluid,787,"azijn, azyn, edick",,,
kruid,herb,,condiment,herb,673,"kruid, kruiden",,,
vlees,meat,,meat,meat,659,"vlees, vleesch",,,
schaap,mutton,,meat,meat,596,"schaape, schapen",,,
meel,flour,,grain,grain,579,meel,,,
vis,fish,,fish,fish,525,vis,,,
appel,apple,,fruit,fruit,502,"appel, appelen",,,
bier,beer,,alcoholic_beverage,fluid,488,bier,,,
noot,nut,,nut,nut,483,noot,,,
thee,tea,,beverage,fluid,449,thee,,,
lever,liver,,meat,meat,432,"lever, levers",,,
kaneel,cinnamon,,condiment,spice,387,kaneel,,,
deeg,dough,,grain,grain,376,deeg,,,
gom,gum,,condiment,spice,372,gom,,,
huid,skin,,meat,meat,345,huid,,,
pap,porridge,,grain,grain,322,pap,,,
kool,cabbage,,vegetable,vegetable,319,kool,,,
spek,bacon,,meat,meat,315,spek,,,
amandel,almond,,nut,nut,310,"amandel, amandelen",,,
boon,bean,,vegetable,pulse,310,"bonen, boon, boonen, boontjes",,,
honing,honey,,condiment,sweetener,299,honing,,,
munt,mint,,condiment,herb,292,munt,,,
siroop,syrup,,preservative,fluid,289,siroop,,,
citroen,lemon,,fruit,fruit,286,"citroen, citroenen",,,
rijst,rice,,grain,grain,279,rijst,,,
gerst,barley,,grain,grain,278,"garst, gerst, gierst",,,
saus,sauce,,fluid,fluid,267,saus,,,
varken,pork,,meat,meat,264,"varken, varkens, verkens",,,
brandewijn,brandy,,alcoholic_beverage,fluid,261,brandewijn,,,
roos,rose,,flower,flower,251,"roozen, roose",,,
kaas,cheese,,dairy,dairy,250,"kaas, kaasjes",,,
peer,pear,,fruit,fruit,245,"peer, peren",,,
room,cream,,dairy,fluid,221,room,,,
olijf,olive,,vegetable,vegetable,207,"olijf, olijven, olyven",,,
saffraan,saffron,,spice,spice,206,saffraan,,,
koe-vleesch,beef,,meat,meat,204,"koe, koeye, rundvlees",,,
pruim,plum,,fruit,fruit,183,"pruim, pruimen, pruymen",,,
tarwe,wheat,,grain,grain,176,"tarwe, tarwen",,,
wijnazijn,wine vinegar,,preservative,fluid,175,wynazyn,,,
venkel,fennel,,"vegetable,condiment","vegetable,condiment",172,venkel,,,
gehakt,minced meat,,meat,meat,171,gehakt,,,
schil,peel,,schil,schil,168,schil,,,
ui,onion,,vegetable,vegetable,162,"ajuin, uien, uijen",,,
haas,hare,,meat,meat,158,"haas, hase, hazen",,,
gedroogde boonen,dried beans,,vegetable,pulse,152,gedroogde,,,
gember,ginger,,spice,spice,147,"gember, gyneber",,,
anijs,aniseed,,spice,spice,146,"anijs, anys",,,
verjuis,verjus,,preservative,fluid,146,verjuis,,,
geit,goat,,meat,meat,145,"geit, geiten",,,
karper,carp,,fish,fish,142,karper,,,
koek,cake,,bakery,grain,132,"koeke, koeken, koekje, koekjes",,,
snoek,pike,,fish,fish,132,snoek,,,
jenever,genever,,condiment,herb,130,"genever, jenever",,,
laurier,laurel,,condiment,herb,130,laurier,,,
roosemarijn,rosemary,,condiment,herb,129,"roosemarijn, rosmaryn",,,
rogge,rye,,grain,grain,128,rogge,,,
